iteration,nrounds,eta,gamma,max_depth,min_child_weight,max_delta_step,subsample,colsample_bytree,colsample_bylevel,colsample_bynode,lambda,alpha
1,50,0.5,0,3,1,0,1,1,1,1,1,0
1,50,0.5,0,4,1,0,1,1,1,1,1,0
1,50,0.5,0,5,1,0,1,1,1,1,1,0
1,50,0.5,0,6,1,0,1,1,1,1,1,0
1,50,0.5,0,7,1,0,1,1,1,1,1,0
1,50,0.5,0,8,1,0,1,1,1,1,1,0
1,50,0.5,0,3,1,5,1,1,1,1,1,0
1,50,0.5,0,4,1,5,1,1,1,1,1,0
1,50,0.5,0,5,1,5,1,1,1,1,1,0
1,50,0.5,0,6,1,5,1,1,1,1,1,0
1,50,0.5,0,7,1,5,1,1,1,1,1,0
1,50,0.5,0,8,1,5,1,1,1,1,1,0
1,50,0.5,0,3,1,10,1,1,1,1,1,0
1,50,0.5,0,4,1,10,1,1,1,1,1,0
1,50,0.5,0,5,1,10,1,1,1,1,1,0
1,50,0.5,0,6,1,10,1,1,1,1,1,0
1,50,0.5,0,7,1,10,1,1,1,1,1,0
1,50,0.5,0,8,1,10,1,1,1,1,1,0
1,50,0.5,0,3,1,15,1,1,1,1,1,0
1,50,0.5,0,4,1,15,1,1,1,1,1,0
1,50,0.5,0,5,1,15,1,1,1,1,1,0
1,50,0.5,0,6,1,15,1,1,1,1,1,0
1,50,0.5,0,7,1,15,1,1,1,1,1,0
1,50,0.5,0,8,1,15,1,1,1,1,1,0
1,50,0.5,0,3,1,20,1,1,1,1,1,0
1,50,0.5,0,4,1,20,1,1,1,1,1,0
1,50,0.5,0,5,1,20,1,1,1,1,1,0
1,50,0.5,0,6,1,20,1,1,1,1,1,0
1,50,0.5,0,7,1,20,1,1,1,1,1,0
1,50,0.5,0,8,1,20,1,1,1,1,1,0
1,50,0.5,0,3,1,25,1,1,1,1,1,0
1,50,0.5,0,4,1,25,1,1,1,1,1,0
1,50,0.5,0,5,1,25,1,1,1,1,1,0
1,50,0.5,0,6,1,25,1,1,1,1,1,0
1,50,0.5,0,7,1,25,1,1,1,1,1,0
1,50,0.5,0,8,1,25,1,1,1,1,1,0
